fees,vsize,time,sats/vbyte
664,166,2022-06-11 20:55:19-04:00,4
664,166,2022-06-11 20:55:19-04:00,4
426,141,2022-06-11 20:55:19-04:00,3
746,142,2022-06-11 20:55:21-04:00,5
746,142,2022-06-11 20:55:21-04:00,5
15985,144,2022-06-11 20:55:22-04:00,111
330,142,2022-06-11 20:55:22-04:00,2
1332,111,2022-06-11 20:55:24-04:00,12
3025,261,2022-06-11 20:55:24-04:00,11
2989,178,2022-06-11 20:55:27-04:00,16
1305,142,2022-06-11 20:55:27-04:00,9
2115,141,2022-06-11 20:55:28-04:00,15
1402,179,2022-06-11 20:55:28-04:00,7
373,335,2022-06-11 20:55:28-04:00,1
41300,485,2022-06-11 20:55:29-04:00,85
1185,225,2022-06-11 20:55:29-04:00,5
986,142,2022-06-11 20:55:30-04:00,6
909,181,2022-06-11 20:55:30-04:00,5
10781,318,2022-06-11 20:55:31-04:00,33
2058,294,2022-06-11 20:55:31-04:00,7
796,669,2022-06-11 20:55:31-04:00,1
6370,181,2022-06-11 20:55:33-04:00,35
1586,142,2022-06-11 20:55:33-04:00,11
1927,209,2022-06-11 20:55:33-04:00,9
1289,141,2022-06-11 20:55:33-04:00,9
15993,1766,2022-06-11 20:55:33-04:00,9
762,141,2022-06-11 20:55:33-04:00,5
744,167,2022-06-11 20:55:33-04:00,4
1244,209,2022-06-11 20:55:34-04:00,5
1758,308,2022-06-11 20:55:34-04:00,5
664,166,2022-06-11 20:55:34-04:00,4
6029,5968,2022-06-11 20:55:37-04:00,1
8397,348,2022-06-11 20:55:39-04:00,24
5746,338,2022-06-11 20:55:39-04:00,17
2250,1092,2022-06-11 20:55:39-04:00,2
6260,626,2022-06-11 20:55:39-04:00,10
756,144,2022-06-11 20:55:39-04:00,5
2365,142,2022-06-11 20:55:40-04:00,16
5760,191,2022-06-11 20:55:42-04:00,30
2420,142,2022-06-11 20:55:43-04:00,17
2632,288,2022-06-11 20:55:44-04:00,9
848,212,2022-06-11 20:55:44-04:00,4
998,111,2022-06-11 20:55:45-04:00,8
1755,208,2022-06-11 20:55:45-04:00,8
541,179,2022-06-11 20:55:45-04:00,3
2033,142,2022-06-11 20:55:46-04:00,14
9791,882,2022-06-11 20:55:48-04:00,11
1056,189,2022-06-11 20:55:49-04:00,5
1060,208,2022-06-11 20:55:49-04:00,5
659,142,2022-06-11 20:55:49-04:00,4
1586,142,2022-06-11 20:55:49-04:00,11
6690,222,2022-06-11 20:55:50-04:00,30
4152,345,2022-06-11 20:55:50-04:00,12
2255,204,2022-06-11 20:55:50-04:00,11
141,141,2022-06-11 20:55:50-04:00,1
206,202,2022-06-11 20:55:50-04:00,1
16931,500,2022-06-11 20:55:51-04:00,33
606,110,2022-06-11 20:55:51-04:00,5
203,143,2022-06-11 20:55:52-04:00,1
3149,190,2022-06-11 20:55:53-04:00,16
1704,142,2022-06-11 20:55:53-04:00,12
1692,141,2022-06-11 20:55:53-04:00,12
3065,276,2022-06-11 20:55:53-04:00,11
2913,314,2022-06-11 20:55:53-04:00,9
2065,226,2022-06-11 20:55:53-04:00,9
1347,480,2022-06-11 20:55:53-04:00,2
332,166,2022-06-11 20:55:53-04:00,2
5246,348,2022-06-11 20:55:55-04:00,15
1692,141,2022-06-11 20:55:55-04:00,12
247,182,2022-06-11 20:55:56-04:00,1
403,101,2022-06-11 20:55:57-04:00,3
746,142,2022-06-11 20:55:57-04:00,5
968,246,2022-06-11 20:55:57-04:00,3
336,144,2022-06-11 20:55:57-04:00,2
5670,189,2022-06-11 20:55:57-04:00,30
441,144,2022-06-11 20:55:58-04:00,3
43393,348,2022-06-11 20:55:59-04:00,124
1586,142,2022-06-11 20:56:01-04:00,11
986,142,2022-06-11 20:56:01-04:00,6
327,141,2022-06-11 20:56:01-04:00,2
573,190,2022-06-11 20:56:02-04:00,3
735,277,2022-06-11 20:56:02-04:00,2
1704,142,2022-06-11 20:56:04-04:00,12
2597,234,2022-06-11 20:56:04-04:00,11
4199,348,2022-06-11 20:56:04-04:00,12
606,110,2022-06-11 20:56:04-04:00,5
756,144,2022-06-11 20:56:07-04:00,5
383,113,2022-06-11 20:56:07-04:00,3
746,142,2022-06-11 20:56:07-04:00,5
419,141,2022-06-11 20:56:09-04:00,2
20360,1834,2022-06-11 20:56:09-04:00,11
419,257,2022-06-11 20:56:11-04:00,1
40230,2402,2022-06-11 20:56:12-04:00,16
330,142,2022-06-11 20:56:12-04:00,2
1704,142,2022-06-11 20:56:12-04:00,12
1551,141,2022-06-11 20:56:12-04:00,11
1030,205,2022-06-11 20:56:12-04:00,5
1296,141,2022-06-11 20:56:13-04:00,9
419,142,2022-06-11 20:56:13-04:00,2
670,346,2022-06-11 20:56:13-04:00,1
1488,133,2022-06-11 20:56:15-04:00,11
206,202,2022-06-11 20:56:15-04:00,1
1588,226,2022-06-11 20:56:15-04:00,7
606,111,2022-06-11 20:56:17-04:00,5
1420,142,2022-06-11 20:56:17-04:00,10
741,141,2022-06-11 20:56:18-04:00,5
419,144,2022-06-11 20:56:19-04:00,2
1547,501,2022-06-11 20:56:21-04:00,3
3133,189,2022-06-11 20:56:22-04:00,16
8800,398,2022-06-11 20:56:22-04:00,22
2544,212,2022-06-11 20:56:22-04:00,12
2046,224,2022-06-11 20:56:22-04:00,9
1692,141,2022-06-11 20:56:23-04:00,12
2210,223,2022-06-11 20:56:23-04:00,9
1056,188,2022-06-11 20:56:23-04:00,5
197,190,2022-06-11 20:56:23-04:00,1
746,142,2022-06-11 20:56:24-04:00,5
460,214,2022-06-11 20:56:24-04:00,2
4899,347,2022-06-11 20:56:25-04:00,14
768,142,2022-06-11 20:56:25-04:00,5
1296,439,2022-06-11 20:56:25-04:00,2
327,141,2022-06-11 20:56:25-04:00,2
2934,226,2022-06-11 20:56:26-04:00,12
3336,278,2022-06-11 20:56:26-04:00,12
1859,165,2022-06-11 20:56:32-04:00,11
2091,692,2022-06-11 20:56:32-04:00,3
954,317,2022-06-11 20:56:32-04:00,3
979,142,2022-06-11 20:56:32-04:00,6
222,221,2022-06-11 20:56:32-04:00,1
1576,141,2022-06-11 20:56:32-04:00,11
3074,277,2022-06-11 20:56:32-04:00,11
426,142,2022-06-11 20:56:32-04:00,3
504,168,2022-06-11 20:56:32-04:00,3
166,166,2022-06-11 20:56:33-04:00,1
330,142,2022-06-11 20:56:34-04:00,2
203,143,2022-06-11 20:56:35-04:00,1
1586,142,2022-06-11 20:56:37-04:00,11
390,202,2022-06-11 20:56:37-04:00,1
3164,142,2022-06-11 20:56:37-04:00,22
3073,208,2022-06-11 20:56:37-04:00,14
1704,142,2022-06-11 20:56:37-04:00,12
909,181,2022-06-11 20:56:37-04:00,5
